 	HBR_1	HBR_2	HBR_3	UHR_1	UHR_2	UHR_3
ENSG00000261188.1	14	23	13	27	13	17
ENSG00000128294.15	38	39	38	85	45	86
ENSG00000221760.1	0	0	0	2	0	0
ENSG00000213707.2	2	3	2	9	10	6
ENSG00000100122.5	2	0	1	3	3	4
ENSG00000196431.3	1	0	0	0	1	1
ENSG00000226912.1	0	0	0	0	1	0
ENSG00000225783.6	389	407	401	36	28	33
ENSG00000278404.1	0	0	0	0	0	0
ENSG00000206028.1	0	4	0	0	0	0
ENSG00000277941.1	0	0	0	0	0	0
ENSG00000275942.1	0	0	0	0	0	0
ENSG00000244625.5	2	6	8	10	12	12
ENSG00000276991.1	0	0	0	0	0	0
ENSG00000223704.1	2	3	5	3	8	2
ENSG00000231369.1	0	0	0	0	0	0
ENSG00000235271.5	0	1	1	0	1	0
ENSG00000279440.1	0	0	0	0	8	0
ENSG00000200443.1	0	0	0	0	0	0
ENSG00000279914.1	0	0	0	0	0	0
ENSG00000279848.1	0	0	0	0	0	0
ENSG00000236858.1	1	0	0	0	2	0
ENSG00000280025.1	0	0	0	1	4	0
ENSG00000231405.1	0	0	0	0	1	0
ENSG00000238195.1	0	0	0	0	1	0
ENSG00000233521.5	1	0	0	2	1	3
ENSG00000233574.1	0	0	0	0	0	0
ENSG00000223726.1	0	0	0	0	0	0
ENSG00000226741.1	0	0	0	0	2	0
ENSG00000230051.1	1	3	1	0	0	0
ENSG00000280445.1	0	0	0	1	0	0
ENSG00000227880.1	0	0	0	0	0	0
ENSG00000224027.1	0	0	0	0	2	0
ENSG00000227838.1	0	0	0	2	1	1
ENSG00000231495.1	0	0	0	0	0	0
ENSG00000226169.1	0	0	0	0	1	0
ENSG00000169184.5	44	34	31	123	93	124
ENSG00000180957.17	80	92	64	111	86	85
ENSG00000235954.6	39	47	56	37	40	43
ENSG00000277460.1	0	0	0	0	0	0
ENSG00000264073.1	1	0	0	1	0	1
ENSG00000276150.1	0	0	0	0	0	0
ENSG00000100154.14	85	119	79	189	106	105
ENSG00000274342.1	0	0	0	0	0	0
ENSG00000276675.1	0	0	0	0	0	0
ENSG00000239249.3	1	0	0	0	0	0
ENSG00000201209.1	0	0	0	0	0	0
ENSG00000199797.1	0	1	0	0	0	0
ENSG00000276162.1	0	0	1	3	2	2
ENSG00000266503.2	0	0	0	0	0	1
ENSG00000183765.20	1	5	3	98	82	99
ENSG00000100209.9	7	7	11	35	21	19
ENSG00000159873.9	68	75	57	258	176	173
ENSG00000100219.16	67	102	78	1084	635	770
ENSG00000280977.1	0	0	0	1	0	1
ENSG00000226471.6	4	7	2	10	12	16
ENSG00000272858.1	1	0	0	4	3	2
ENSG00000224256.1	0	0	0	0	0	0
ENSG00000183579.15	96	103	100	98	89	83
ENSG00000235786.1	1	6	3	4	3	2
ENSG00000177993.3	6	3	3	8	2	2
ENSG00000100249.4	0	2	0	0	1	0
ENSG00000183762.12	50	62	35	75	59	69
ENSG00000226772.1	1	0	2	0	0	0
ENSG00000281592.1	0	0	0	0	0	0
ENSG00000200871.1	1	0	0	0	0	0
ENSG00000251952.1	0	0	0	0	0	0
ENSG00000186998.15	11	19	29	12	6	7
ENSG00000100263.13	23	40	32	79	57	66
ENSG00000237015.1	2	1	3	8	3	5
ENSG00000182944.17	346	356	360	920	673	836
ENSG00000185340.15	73	76	66	32	23	33
ENSG00000100276.9	9	27	17	0	2	0
ENSG00000273216.1	0	0	1	1	1	0
ENSG00000100280.16	225	263	247	349	239	263
ENSG00000280968.1	0	0	0	0	0	0
ENSG00000239127.1	0	0	0	0	0	0
ENSG00000242156.1	0	0	0	0	0	0
ENSG00000278292.1	0	0	0	0	1	0
ENSG00000225465.8	101	96	95	5	2	0
ENSG00000274457.1	0	0	0	0	0	0
ENSG00000128250.5	0	0	0	0	0	0
ENSG00000282816.1	0	0	0	0	0	0
ENSG00000100285.9	188	254	252	26	24	21
ENSG00000100296.13	71	123	65	220	137	149
ENSG00000234208.1	0	0	1	1	2	0
ENSG00000184117.11	96	123	111	268	176	215
ENSG00000186575.17	207	273	238	450	308	350
ENSG00000233010.1	2	4	1	2	0	3
ENSG00000232396.2	0	1	0	0	1	0
ENSG00000239446.1	0	0	0	0	0	0
ENSG00000100314.3	16	20	24	2	1	5
ENSG00000100319.12	16	12	5	18	20	14
ENSG00000200976.1	0	0	0	0	0	0
ENSG00000184076.12	83	93	104	184	97	136
ENSG00000100325.14	35	43	39	144	91	130
ENSG00000100330.15	31	42	30	28	14	17
ENSG00000278841.1	1	0	1	0	1	0
ENSG00000207455.1	0	0	0	0	0	0
ENSG00000221736.2	0	0	1	0	0	0
ENSG00000279159.1	69	88	71	81	60	70
ENSG00000275818.1	0	0	0	0	0	0
ENSG00000227117.6	1	0	0	1	1	0
ENSG00000227201.2	0	1	0	0	1	0
ENSG00000176635.17	0	0	0	1	5	0
ENSG00000226573.1	0	0	0	0	0	0
ENSG00000225971.1	0	0	0	0	0	0
ENSG00000225676.1	0	0	0	0	2	0
ENSG00000232530.1	0	0	0	2	0	0
ENSG00000128342.4	2	3	3	151	92	102
ENSG00000268812.3	0	0	0	3	1	0
ENSG00000099985.3	0	0	1	0	0	2
ENSG00000279699.1	2	3	0	0	1	1
ENSG00000239282.7	2	4	2	0	0	0
ENSG00000248751.6	0	0	0	0	0	0
ENSG00000099992.15	10	15	12	31	26	31
ENSG00000099995.18	180	233	178	386	254	281
ENSG00000187860.10	3	13	5	7	8	7
ENSG00000099999.14	54	64	41	54	39	44
ENSG00000100003.17	48	77	64	41	32	31
ENSG00000249590.7	0	0	0	0	0	0
ENSG00000275258.1	0	0	1	0	0	0
ENSG00000273350.1	3	6	4	4	6	4
ENSG00000222915.1	1	1	0	0	0	0
ENSG00000272689.1	0	2	1	4	4	2
ENSG00000242114.5	0	0	0	1	1	2
ENSG00000273428.3	0	0	0	1	1	1
ENSG00000230137.1	0	0	0	1	0	0
ENSG00000100012.11	1	0	0	0	2	0
ENSG00000181123.8	0	0	0	0	0	0
ENSG00000214161.3	0	0	0	0	0	0
ENSG00000133488.14	0	0	0	3	2	4
ENSG00000214491.8	4	12	3	3	7	5
ENSG00000225774.2	0	0	0	0	0	0
ENSG00000128242.12	19	18	21	4	6	4
ENSG00000100029.17	65	78	69	274	201	256
ENSG00000223831.1	0	0	0	0	1	0
ENSG00000185339.8	19	26	23	55	49	40
ENSG00000100036.12	18	32	26	21	12	13
ENSG00000167065.13	7	13	7	12	8	7
ENSG00000250318.1	1	2	0	2	0	1
ENSG00000184792.15	119	139	97	112	57	83
ENSG00000264661.2	2	0	0	0	0	0
ENSG00000237977.1	1	4	9	3	6	6
ENSG00000235989.3	1	2	3	5	2	1
ENSG00000133422.12	69	76	46	137	96	144
ENSG00000253352.8	149	181	163	410	262	305
ENSG00000276664.1	0	0	0	0	0	0
ENSG00000276057.1	0	0	0	0	0	0
ENSG00000276965.1	0	0	0	0	0	0
ENSG00000275307.1	0	0	0	0	0	0
ENSG00000269987.1	0	0	0	0	0	0
ENSG00000269972.1	0	0	0	0	0	0
ENSG00000278920.1	0	0	0	2	5	2
ENSG00000240186.3	0	0	0	0	0	0
ENSG00000183963.18	42	49	45	130	86	135
ENSG00000273387.1	1	2	1	8	4	3
ENSG00000198832.10	83	87	77	25	18	17
ENSG00000235573.2	0	0	0	0	0	0
ENSG00000185133.13	59	77	58	7	8	14
ENSG00000100078.3	1	5	2	13	12	8
ENSG00000214125.2	0	0	0	0	0	0
ENSG00000264141.1	0	0	0	0	0	0
ENSG00000138942.15	55	97	69	94	78	84
ENSG00000254835.1	0	0	0	0	0	0
ENSG00000182541.17	96	119	104	114	70	96
ENSG00000199695.1	0	0	0	0	1	0
ENSG00000202019.1	0	0	0	0	1	1
ENSG00000100100.12	113	162	129	52	32	33
ENSG00000228839.5	1	1	3	1	0	1
ENSG00000212542.1	0	0	0	0	0	0
ENSG00000100105.17	71	74	61	191	115	137
ENSG00000213888.3	12	14	14	8	9	6
ENSG00000206615.1	0	0	0	0	0	0
ENSG00000185721.11	83	106	96	190	143	152
ENSG00000184708.17	84	93	87	84	72	73
ENSG00000240591.1	0	0	1	0	1	0
ENSG00000199248.1	1	0	0	0	1	1
ENSG00000198089.14	109	125	106	139	101	133
ENSG00000233733.1	1	0	1	0	0	0
ENSG00000229169.1	0	0	0	0	0	0
ENSG00000214093.3	0	1	1	4	1	4
ENSG00000241878.9	180	235	211	148	90	105
ENSG00000275382.1	0	0	0	0	0	0
ENSG00000183530.13	219	269	233	418	292	332
ENSG00000100150.16	52	79	75	77	49	65
ENSG00000242251.3	0	0	0	1	2	1
ENSG00000236132.1	0	0	1	1	2	0
ENSG00000252909.1	0	0	0	0	0	0
ENSG00000227813.1	0	1	2	0	0	0
ENSG00000128254.12	0	4	4	2	1	1
ENSG00000128245.14	1023	1357	1143	334	218	289
ENSG00000227519.1	0	0	0	1	0	0
ENSG00000230866.1	0	0	0	0	2	0
ENSG00000240647.3	0	0	0	0	0	0
ENSG00000232346.1	0	0	0	0	0	0
ENSG00000100170.9	0	0	0	0	5	0
ENSG00000234479.2	0	0	0	0	1	0
ENSG00000237439.1	0	0	0	0	0	0
ENSG00000232707.1	0	0	0	0	0	0
ENSG00000239674.2	0	0	0	1	0	0
ENSG00000205856.3	0	2	0	0	1	1
ENSG00000230120.1	0	0	0	0	0	0
ENSG00000275656.1	0	0	0	0	0	0
ENSG00000128253.13	5	2	9	1	1	0
ENSG00000279219.1	0	0	0	1	0	0
ENSG00000254127.1	0	0	0	0	0	1
ENSG00000242082.1	4	5	2	2	3	1
ENSG00000100191.5	7	12	5	13	9	4
ENSG00000214076.3	41	43	42	5	12	9
ENSG00000224050.1	1	1	3	0	0	0
ENSG00000273325.1	0	3	0	1	0	0
ENSG00000234626.1	0	1	1	1	0	0
ENSG00000128276.10	0	0	0	0	0	0
ENSG00000271093.1	0	0	0	0	0	0
ENSG00000205853.10	0	0	1	0	0	0
ENSG00000274617.1	0	0	0	0	0	0
ENSG00000274170.1	0	0	0	0	0	0
ENSG00000230736.2	1	2	2	1	1	1
ENSG00000243519.1	0	0	0	0	0	0
ENSG00000241954.1	0	1	0	4	2	0
ENSG00000232218.1	2	0	0	2	0	1
ENSG00000100220.11	109	148	125	338	182	247
ENSG00000184459.8	0	0	0	0	2	0
ENSG00000100225.17	163	179	198	429	378	371
ENSG00000185666.14	73	111	79	11	12	9
ENSG00000236054.1	1	4	5	1	1	1
ENSG00000251890.1	0	0	0	0	0	0
ENSG00000229673.1	0	0	1	0	1	0
ENSG00000100234.11	211	270	242	804	489	598
ENSG00000228194.1	0	0	0	0	0	0
ENSG00000228622.1	0	0	0	0	0	0
ENSG00000231253.1	0	0	0	0	0	1
ENSG00000233632.1	0	0	0	0	1	0
ENSG00000133424.20	173	213	200	82	57	84
ENSG00000232073.1	0	0	0	0	0	0
ENSG00000230741.1	1	1	2	3	1	0
ENSG00000266012.1	1	0	0	0	0	0
ENSG00000253007.2	0	0	0	0	0	0
ENSG00000281295.1	0	0	0	0	0	0
ENSG00000232081.1	0	0	0	0	0	1
ENSG00000224973.5	7	6	5	5	7	5
ENSG00000273082.1	0	0	0	0	0	0
ENSG00000236052.1	0	0	0	0	1	0
ENSG00000224404.1	0	1	2	0	0	0
ENSG00000235485.1	0	0	0	0	0	0
ENSG00000280356.1	0	0	0	3	4	2
ENSG00000234891.1	2	3	0	0	1	0
ENSG00000237316.1	0	0	1	0	0	0
ENSG00000227895.5	1	0	0	2	1	1
ENSG00000175329.12	0	0	0	6	4	1
ENSG00000233080.2	0	0	0	1	0	1
ENSG00000273068.1	0	0	0	0	0	0
ENSG00000279184.1	0	0	1	72	75	62
ENSG00000238153.1	0	0	0	0	0	0
ENSG00000243453.1	0	0	0	0	0	0
ENSG00000238584.1	0	0	0	0	0	0
ENSG00000100281.13	33	45	47	125	102	101
ENSG00000273176.1	2	0	1	0	0	0
ENSG00000100284.20	98	118	104	84	56	69
ENSG00000266320.1	1	0	0	1	1	0
ENSG00000274280.1	0	0	0	0	0	0
ENSG00000282602.1	0	0	0	1	0	0
ENSG00000282041.1	0	0	0	0	0	0
ENSG00000100292.16	13	19	13	82	51	80
ENSG00000100297.15	28	32	34	543	295	446
ENSG00000233388.2	0	0	0	4	1	5
ENSG00000273044.1	0	0	0	0	0	0
ENSG00000100302.6	55	80	60	15	14	17
ENSG00000198125.12	0	1	0	9	8	8
ENSG00000268818.2	0	0	0	0	1	0
ENSG00000221963.5	64	54	56	328	197	252
ENSG00000228587.1	0	0	0	0	0	0
ENSG00000226336.2	0	0	0	0	0	0
ENSG00000128313.2	0	0	1	0	0	0
ENSG00000100320.22	621	738	710	521	368	410
ENSG00000237406.1	3	3	2	4	4	3
ENSG00000279652.1	9	8	4	20	23	18
ENSG00000279927.1	0	0	0	0	0	0
ENSG00000279217.1	0	0	0	0	9	0
ENSG00000279714.1	0	0	0	0	0	0
ENSG00000279805.1	1	0	1	0	1	0
ENSG00000128284.19	8	6	12	39	33	19
ENSG00000233764.1	0	0	0	0	1	0
ENSG00000231576.1	0	0	0	0	0	0
ENSG00000237948.1	0	0	0	0	1	0
ENSG00000225557.1	0	0	0	0	1	0
ENSG00000237129.1	0	0	0	0	0	0
ENSG00000229088.1	0	0	0	0	1	0
ENSG00000100336.17	10	6	8	9	4	4
ENSG00000128335.13	112	153	135	148	111	115
ENSG00000100342.20	4	9	6	85	65	76
ENSG00000100345.20	449	513	485	2687	1606	2110
ENSG00000278420.1	0	0	0	0	0	0
ENSG00000223695.1	1	2	1	2	0	0
ENSG00000237668.1	0	0	0	0	1	0
ENSG00000252575.1	0	0	0	0	0	0
ENSG00000252225.1	0	0	0	0	0	0
ENSG00000228719.1	0	1	3	0	0	0
ENSG00000100348.9	27	41	39	82	49	39
ENSG00000100350.14	74	108	106	218	104	119
ENSG00000100353.17	103	119	132	745	497	638
ENSG00000188078.5	0	0	0	0	0	1
ENSG00000229971.1	0	0	0	0	0	0
ENSG00000261675.1	41	56	44	0	0	0
ENSG00000166862.6	33	34	48	0	1	0
ENSG00000234688.1	3	2	4	0	0	0
ENSG00000100360.14	55	58	56	77	57	60
ENSG00000100362.12	100	130	102	25	17	15
ENSG00000234979.1	2	0	0	0	0	0
ENSG00000183822.3	0	0	1	1	4	1
ENSG00000100365.14	3	7	1	23	16	14
ENSG00000100368.13	2	3	4	50	42	40
ENSG00000232254.1	0	0	0	0	1	0
ENSG00000215403.1	0	0	0	0	1	0
ENSG00000185264.11	0	0	0	0	0	0
ENSG00000128311.13	18	21	18	88	61	51
ENSG00000252412.1	1	1	1	2	0	0
ENSG00000128309.16	34	29	33	130	76	112
ENSG00000100379.17	47	75	73	33	21	14
ENSG00000201078.1	0	0	0	1	0	0
ENSG00000187045.16	1	3	0	5	5	3
ENSG00000231467.2	0	0	0	0	1	0
ENSG00000100385.13	1	0	0	6	6	4
ENSG00000252142.1	0	0	0	0	1	0
ENSG00000235237.1	0	0	0	1	0	0
ENSG00000133466.13	9	8	10	83	65	64
ENSG00000278195.1	29	36	48	14	12	12
ENSG00000226233.1	0	0	0	0	0	0
ENSG00000128340.14	8	8	5	109	79	92
ENSG00000100055.20	13	18	16	22	19	12
ENSG00000243902.6	2	4	3	0	0	0
ENSG00000237862.1	1	2	1	1	3	0
ENSG00000166897.14	94	126	102	19	13	22
ENSG00000272694.1	0	0	0	0	0	0
ENSG00000100060.17	4	5	6	76	30	49
ENSG00000100065.14	2	5	5	97	76	74
ENSG00000225867.1	1	1	0	0	0	0
ENSG00000128283.6	67	100	64	143	81	126
ENSG00000100079.6	0	0	0	7	5	3
ENSG00000273866.1	0	0	0	0	1	0
ENSG00000100083.18	119	155	127	309	194	222
ENSG00000100092.20	17	9	10	43	31	32
ENSG00000233360.4	0	3	1	3	2	2
ENSG00000241360.1	1	5	4	1	1	1
ENSG00000241333.3	0	1	0	0	0	0
ENSG00000100097.11	76	93	77	731	447	617
ENSG00000273899.4	8	9	11	26	14	17
ENSG00000100101.15	0	0	0	0	0	0
ENSG00000100106.19	35	28	25	157	98	135
ENSG00000281932.1	0	0	0	0	0	0
ENSG00000189060.5	105	144	112	251	167	190
ENSG00000100116.16	34	27	33	76	55	53
ENSG00000128310.2	1	0	2	1	1	0
ENSG00000100124.12	33	48	55	90	51	73
ENSG00000207945.1	0	0	0	0	0	0
ENSG00000207696.1	0	0	0	1	0	0
ENSG00000100129.17	185	214	194	656	433	580
ENSG00000279738.1	10	23	12	42	31	20
ENSG00000207227.1	0	0	0	0	0	0
ENSG00000100139.13	52	63	62	149	97	115
ENSG00000278948.1	1	3	0	2	1	0
ENSG00000128346.10	2	1	5	9	6	3
ENSG00000280527.1	0	2	0	0	0	1
ENSG00000279010.1	160	183	147	100	80	71
ENSG00000272582.1	0	0	0	0	0	0
ENSG00000100142.14	14	27	16	12	8	7
ENSG00000277321.1	0	0	0	0	0	0
ENSG00000100146.16	0	0	0	0	0	0
ENSG00000264505.1	0	0	0	0	0	0
ENSG00000222044.1	6	3	10	4	7	0
ENSG00000273214.1	0	0	1	0	1	0
ENSG00000100151.15	73	72	78	46	31	56
ENSG00000233739.1	0	0	0	0	0	0
ENSG00000100156.10	9	13	11	11	5	6
ENSG00000128298.16	5	17	8	18	8	9
ENSG00000272720.1	10	3	3	4	2	3
ENSG00000184381.18	53	53	60	85	46	46
ENSG00000279080.1	2	3	2	12	7	6
ENSG00000185022.11	29	27	20	97	63	68
ENSG00000198792.12	195	226	207	184	131	161
ENSG00000235246.1	0	0	0	0	0	0
ENSG00000241693.2	0	0	0	0	1	0
ENSG00000265311.1	0	0	0	0	0	0
ENSG00000277385.1	0	0	0	0	0	0
ENSG00000213923.10	231	228	221	591	340	445
ENSG00000244627.5	8	15	9	28	25	22
ENSG00000229955.1	2	0	1	6	4	3
ENSG00000228620.1	0	0	0	0	0	0
ENSG00000168135.4	37	62	48	1	1	1
ENSG00000100196.10	6	6	7	106	92	91
ENSG00000100201.18	1517	1778	1623	2781	1796	2221
ENSG00000100206.9	2	4	0	15	11	8
ENSG00000224279.2	1	0	0	0	0	0
ENSG00000184949.15	16	12	17	40	47	22
ENSG00000100211.10	16	18	12	22	20	35
ENSG00000230912.1	3	1	0	0	4	2
ENSG00000228274.3	11	6	15	5	8	6
ENSG00000100216.5	52	67	51	176	111	155
ENSG00000100221.10	149	161	133	261	203	210
ENSG00000100226.15	144	188	151	334	181	247
ENSG00000229598.1	3	5	2	11	3	10
ENSG00000244491.1	0	0	0	0	0	0
ENSG00000100242.15	239	333	271	238	130	200
ENSG00000230149.2	0	1	0	1	0	1
ENSG00000273096.1	1	1	1	2	3	3
ENSG00000225450.1	1	0	2	2	0	0
ENSG00000272669.1	1	5	1	4	8	5
ENSG00000273076.1	0	1	1	4	0	2
ENSG00000100246.12	17	41	33	43	16	24
ENSG00000221890.2	388	446	393	69	59	50
ENSG00000183741.11	737	873	828	359	241	299
ENSG00000235209.1	0	0	0	0	0	0
ENSG00000128383.12	0	0	0	0	1	0
ENSG00000179750.15	0	0	0	19	17	13
ENSG00000249310.2	0	0	0	0	0	0
ENSG00000244509.3	3	3	3	75	45	56
ENSG00000243811.7	1	1	3	17	6	9
ENSG00000128394.16	1	0	0	10	6	8
ENSG00000239713.7	4	9	3	40	27	24
ENSG00000259421.1	0	0	0	0	0	0
ENSG00000225720.6	0	2	1	0	0	0
ENSG00000100298.15	4	3	0	0	0	0
ENSG00000100307.12	174	243	200	23	21	22
ENSG00000226024.1	0	0	0	0	0	0
ENSG00000279833.1	6	18	8	8	6	6
ENSG00000227009.1	0	0	0	0	0	0
ENSG00000100311.16	33	45	32	40	28	43
ENSG00000224794.1	0	0	0	0	0	1
ENSG00000100316.15	657	760	717	4014	2396	3039
ENSG00000209480.1	0	0	0	0	0	0
ENSG00000209482.1	2	0	0	6	4	2
ENSG00000280859.1	0	0	0	1	0	1
ENSG00000263764.1	0	0	0	0	0	0
ENSG00000100321.14	762	995	868	54	51	42
ENSG00000280216.1	1	2	2	0	0	0
ENSG00000100324.13	99	91	70	82	75	86
ENSG00000128268.11	257	327	273	35	15	23
ENSG00000227188.1	5	9	8	1	2	1
ENSG00000100335.12	95	121	114	312	163	203
ENSG00000128272.14	291	358	307	1350	817	1064
ENSG00000187051.8	72	88	72	128	95	95
ENSG00000100346.17	106	139	134	2	7	0
ENSG00000176177.9	0	0	0	2	3	3
ENSG00000235647.1	0	0	0	0	1	0
ENSG00000238875.1	0	0	0	0	0	0
ENSG00000226085.3	1	5	6	4	8	4
ENSG00000100351.16	1	0	1	64	44	43
ENSG00000225528.1	0	0	0	8	1	7
ENSG00000133477.16	0	1	6	27	19	14
ENSG00000261202.1	0	2	0	1	0	2
ENSG00000100354.20	580	682	590	526	323	405
ENSG00000228599.1	2	4	2	3	2	2
ENSG00000239900.11	40	39	46	276	171	199
ENSG00000279624.3	0	0	1	1	0	0
ENSG00000100359.20	107	128	111	139	99	131
ENSG00000229999.6	1	2	1	4	4	5
ENSG00000196588.14	138	133	102	138	80	93
ENSG00000272834.1	0	0	1	1	1	3
ENSG00000227413.1	2	0	2	0	4	0
ENSG00000232564.2	4	10	8	11	7	9
ENSG00000252124.1	1	1	1	2	2	0
ENSG00000172912.4	1	0	0	1	0	0
ENSG00000230071.2	1	2	1	7	5	11
ENSG00000231907.2	0	1	0	0	1	0
ENSG00000128285.4	12	21	17	2	3	2
ENSG00000100372.14	39	38	40	121	95	115
ENSG00000230769.1	1	1	3	5	1	1
ENSG00000233603.1	1	1	0	6	1	4
ENSG00000266594.1	0	0	0	2	0	1
ENSG00000100380.12	392	479	463	891	640	767
ENSG00000196236.12	31	44	39	149	103	122
ENSG00000172404.4	2	2	0	1	1	0
ENSG00000273979.1	0	0	0	0	0	2
ENSG00000200683.1	0	0	0	0	0	1
ENSG00000100387.8	52	71	60	129	78	90
ENSG00000222698.1	0	0	0	0	0	0
ENSG00000280863.1	0	0	0	0	0	0
ENSG00000237214.3	0	0	0	0	0	0
ENSG00000199515.1	0	0	0	0	0	0
ENSG00000213857.3	0	0	0	0	0	0
ENSG00000100393.9	298	398	402	561	317	398
ENSG00000221160.1	0	0	0	0	0	0
ENSG00000252859.1	0	0	0	0	1	0
ENSG00000232754.1	0	3	0	3	2	1
ENSG00000231993.1	1	2	0	1	1	2
ENSG00000215771.2	0	1	0	0	0	1
ENSG00000100395.14	84	88	73	93	75	79
ENSG00000235513.1	5	5	8	2	4	6
ENSG00000100399.15	31	40	37	1	2	1
ENSG00000100401.19	256	314	266	463	295	388
ENSG00000274552.1	0	0	0	0	0	0
ENSG00000100403.11	419	531	477	455	287	377
ENSG00000167074.14	334	382	341	43	34	28
ENSG00000199865.1	0	2	0	0	0	0
ENSG00000273424.1	0	0	2	4	1	0
ENSG00000183864.4	203	277	197	172	115	142
ENSG00000100410.7	34	36	17	135	77	89
ENSG00000100412.15	293	358	340	252	165	194
ENSG00000100413.16	94	79	79	115	70	76
ENSG00000172346.14	72	93	65	6	5	1
ENSG00000100417.11	30	34	47	43	24	22
ENSG00000100418.7	129	188	159	189	133	135
ENSG00000196419.12	364	412	379	1437	973	1126
ENSG00000200332.1	0	0	0	1	0	0
ENSG00000100138.13	168	201	179	366	219	290
ENSG00000207457.1	0	1	0	3	1	0
ENSG00000184208.10	34	36	32	55	46	49
ENSG00000167077.12	1	5	1	8	6	2
ENSG00000231261.1	0	1	0	0	0	0
ENSG00000252603.1	0	0	0	0	0	0
ENSG00000206813.1	0	0	0	0	0	0
ENSG00000100147.13	9	24	19	39	24	30
ENSG00000184068.2	12	14	12	34	18	23
ENSG00000198911.11	490	659	570	614	382	532
ENSG00000207932.1	0	1	2	0	0	0
ENSG00000234965.2	33	30	18	0	0	4
ENSG00000159958.4	4	2	2	11	8	12
ENSG00000263463.1	0	0	0	0	0	0
ENSG00000100162.14	0	3	1	65	35	53
ENSG00000205704.6	28	16	21	0	1	1
ENSG00000100167.19	697	879	833	51	36	54
ENSG00000224883.1	4	3	3	0	1	0
ENSG00000183066.14	14	11	8	5	9	2
ENSG00000215347.3	0	0	0	0	1	0
ENSG00000198951.11	30	43	52	144	106	130
ENSG00000177096.8	9	3	4	6	5	6
ENSG00000238498.1	0	0	0	0	1	0
ENSG00000183172.8	25	42	34	28	15	25
ENSG00000184983.9	67	100	81	167	109	125
ENSG00000270083.1	2	1	2	8	4	2
ENSG00000237037.9	10	16	19	13	5	11
ENSG00000213790.2	1	0	3	3	0	0
ENSG00000100197.20	15	22	16	16	9	4
ENSG00000227370.1	0	1	0	3	1	3
ENSG00000232710.1	1	1	0	0	0	0
ENSG00000281538.1	3	6	4	1	1	1
ENSG00000205702.10	6	9	8	2	3	8
ENSG00000226450.2	2	3	4	5	6	7
ENSG00000100207.18	205	258	209	455	280	353
ENSG00000182057.4	0	3	1	13	6	7
ENSG00000233903.2	1	2	1	8	5	5
ENSG00000273366.1	1	3	1	8	1	4
ENSG00000229891.1	1	3	5	2	4	1
ENSG00000235568.6	5	5	11	8	9	9
ENSG00000230107.1	0	0	0	1	1	2
ENSG00000172250.14	4	3	5	2	2	1
ENSG00000189306.10	54	85	70	149	79	113
ENSG00000265106.1	0	0	0	0	0	0
ENSG00000183569.17	6	10	6	15	14	19
ENSG00000182841.12	20	28	18	49	41	42
ENSG00000202058.1	281	313	223	247	405	366
ENSG00000251913.1	0	0	0	0	0	0
ENSG00000100227.17	140	154	151	264	171	210
ENSG00000276027.1	0	0	0	0	0	0
ENSG00000270022.3	1	0	0	3	2	2
ENSG00000100243.20	127	170	135	377	251	309
ENSG00000249222.1	0	3	1	2	0	0
ENSG00000128274.15	8	4	2	36	23	25
ENSG00000200448.1	0	0	0	0	0	0
ENSG00000234009.1	0	0	0	0	0	1
ENSG00000229608.1	0	1	0	0	1	0
ENSG00000274717.1	0	0	1	1	2	1
ENSG00000242247.10	50	62	42	179	143	122
ENSG00000100266.17	114	126	111	261	172	221
ENSG00000226989.1	0	1	0	1	0	0
ENSG00000230319.1	3	3	1	0	4	0
ENSG00000100271.16	14	27	26	11	11	18
ENSG00000234735.1	0	1	0	0	0	0
ENSG00000100290.2	1	3	6	4	5	6
ENSG00000100294.12	19	27	25	43	27	35
ENSG00000100300.17	12	10	13	136	88	111
ENSG00000100304.12	57	96	58	280	212	236
ENSG00000159307.18	1	5	3	11	15	7
ENSG00000236272.1	0	0	0	0	0	0
ENSG00000234892.1	0	0	0	0	0	0
ENSG00000203527.2	0	0	0	1	0	0
ENSG00000236117.1	1	0	0	1	3	0
ENSG00000186732.13	121	154	138	1	3	3
ENSG00000223843.4	2	3	0	0	2	0
ENSG00000186976.14	36	43	34	6	4	3
ENSG00000233157.1	1	0	1	0	0	1
ENSG00000180150.5	0	0	0	0	0	0
ENSG00000261251.1	2	3	6	2	4	5
ENSG00000130540.13	289	332	287	5	7	2
ENSG00000100341.11	3	2	2	0	3	0
ENSG00000266837.1	0	0	0	0	0	0
ENSG00000100344.10	6	5	5	45	37	37
ENSG00000100347.14	43	46	46	123	110	98
ENSG00000224856.2	0	1	0	0	0	2
ENSG00000188677.14	68	88	67	149	129	136
ENSG00000279175.1	3	6	4	9	9	10
ENSG00000280434.1	3	7	5	17	13	7
ENSG00000138964.16	5	9	6	17	19	7
ENSG00000279933.1	0	0	1	1	0	0
ENSG00000280011.1	0	3	0	3	7	3
ENSG00000138944.7	149	205	176	162	109	133
ENSG00000220702.1	0	0	0	0	0	0
ENSG00000236079.1	0	0	0	0	0	0
ENSG00000232655.1	0	0	0	0	0	0
ENSG00000228807.1	0	0	0	0	0	0
ENSG00000279642.1	0	0	0	0	0	0
ENSG00000188636.3	172	261	176	235	149	178
ENSG00000215333.3	0	0	0	0	2	0
ENSG00000187012.10	0	0	0	0	4	0
ENSG00000234300.1	0	0	0	0	0	0
